127.0.0.1 - - [01/Feb/2024:19:03:10 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/dashboard.html HTTP/1.1" 200 21054
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/css/font-awesome.css HTTP/1.1" 200 35128
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/images/g2.jpg HTTP/1.1" 200 43946
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/css/flexslider.css HTTP/1.1" 200 3968
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/images/g1.jpg HTTP/1.1" 200 50657
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/css/style.css HTTP/1.1" 200 56421
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/images/g3.jpg HTTP/1.1" 200 41578
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/images/s1.jpg HTTP/1.1" 200 23751
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:09 +0530] "GET /vaccination/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/js/SmoothScroll.min.js HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/js/jarallax.js HTTP/1.1" 200 14718
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/js/easyResponsiveTabs.js HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/js/typed.js HTTP/1.1" 200 12130
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/js/easing.js HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/images/overlay.png HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/js/jquery.flexslider.js HTTP/1.1" 200 41110
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/images/3.jpg HTTP/1.1" 200 43927
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:10 +0530] "GET /vaccination/images/1.jpg HTTP/1.1" 200 416319
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:11 +0530] "GET /vaccination/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:11 +0530] "GET /vaccination/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:13 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:04:20 +0530] "GET /vaccination/images/arrow.png HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:05:39 +0530] "GET /vaccination/index.html HTTP/1.1" 200 12137
0:0:0:0:0:0:0:1 - - [01/Feb/2024:19:25:33 +0530] "GET /vaccination/admin.jsp HTTP/1.1" 200 6826
