127.0.0.1 - - [23/Jan/2024:16:09:12 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:18 +0530] "GET /vaccination/admin.jsp HTTP/1.1" 200 8878
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:19 +0530] "GET /vaccination/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:19 +0530] "GET /vaccination/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:19 +0530] "GET /vaccination/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:19 +0530] "GET /vaccination/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:19 +0530] "GET /vaccination/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:19 +0530] "GET /vaccination/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:20 +0530] "GET /vaccination/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:20 +0530] "GET /vaccination/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:20 +0530] "GET /vaccination/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:20 +0530] "GET /vaccination/js/typed.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:20 +0530] "GET /vaccination/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:16:09:20 +0530] "GET /vaccination/js/easyResponsiveTabs.js HTTP/1.1" 304 -
